dataset_id,dataset_name,dataset_family,physical_mechanism,commercial_relevance,target_outcomes,authoritative_source,source_url,historical_coverage,update_frequency,spatial_granularity,temporal_granularity,pit_timestamp_available,pit_safe_status,join_keys,licence_access,estimated_storage_mb,acquisition_effort_hours,validation_effort_hours,expected_information_gain,expected_commercial_impact,current_coverage,blocker,priority_score,recommended_action,notes
AUS_CAL_NATIONAL,National Public Holidays,Calendar,Deterministic calendar event,High,demand patterns demand volatility interconnector flows,Australian Bureau of Statistics,https://www.abs.gov.au/,1950-present,Annual,National,Daily,Yes,SAFE,observation_date,Public,1,1,0.5,High,Critical,None,None,9.8,INCLUDE_NOW,Fully deterministic; apply as baseline for all regions
AUS_CAL_NSW,NSW Public Holidays,Calendar,Regional calendar event,High,demand patterns (NSW1 region),interconnector flows,nsw.gov.au NSW Government,https://www.nsw.gov.au/,1950-present,Annual,NSW1,Daily,Yes,SAFE,observation_date,Public,0.5,1,0.5,High,Critical,None,None,9.8,INCLUDE_NOW,NSW-specific calendar; apply to NSW1 region only
AUS_CAL_QLD,QLD Public Holidays,Calendar,Regional calendar event,High,demand patterns (QLD1 region),interconnector flows,qld.gov.au Queensland Government,https://www.qld.gov.au/,1950-present,Annual,QLD1,Daily,Yes,SAFE,observation_date,Public,0.5,1,0.5,High,Critical,None,None,9.8,INCLUDE_NOW,QLD-specific calendar; apply to QLD1 region only
AUS_CAL_VIC,VIC Public Holidays,Calendar,Regional calendar event,High,demand patterns (VIC1 region),interconnector flows,vic.gov.au Victoria Government,https://www.vic.gov.au/,1950-present,Annual,VIC1,Daily,Yes,SAFE,observation_date,Public,0.5,1,0.5,High,Critical,None,None,9.8,INCLUDE_NOW,VIC-specific calendar; apply to VIC1 region only
AUS_CAL_SA,SA Public Holidays,Calendar,Regional calendar event,High,demand patterns (SA1 region),interconnector flows,sa.gov.au South Australia Government,https://www.sa.gov.au/,1950-present,Annual,SA1,Daily,Yes,SAFE,observation_date,Public,0.5,1,0.5,High,Critical,None,None,9.8,INCLUDE_NOW,SA-specific calendar; apply to SA1 region only
AUS_CAL_TAS,TAS Public Holidays,Calendar,Regional calendar event,High,demand patterns (TAS1 region),interconnector flows,tas.gov.au Tasmania Government,https://www.tas.gov.au/,1950-present,Annual,TAS1,Daily,Yes,SAFE,observation_date,Public,0.5,1,0.5,High,Critical,None,None,9.8,INCLUDE_NOW,TAS-specific calendar; apply to TAS1 region only
AUS_CAL_SCHOOL_NSW,NSW School Holidays,Calendar,Regional school holiday event,Medium,demand patterns (NSW1 region),demand volatility,NSW Department of Education,https://www.nsw.gov.au/education,1980-present,Annual,NSW1,Weekly blocks,Yes,SAFE,observation_date,Public,1,1,0.5,Medium,High,Partial,Historical data pre-1990 requires curation,8.5,INCLUDE_NOW,School holidays drive weekend-like demand patterns in NSW
AUS_CAL_SCHOOL_QLD,QLD School Holidays,Calendar,Regional school holiday event,Medium,demand patterns (QLD1 region),demand volatility,Queensland Department of Education,https://www.qld.gov.au/,1980-present,Annual,QLD1,Weekly blocks,Yes,SAFE,observation_date,Public,1,1,0.5,Medium,High,Partial,Historical data pre-1990 requires curation,8.5,INCLUDE_NOW,School holidays drive weekend-like demand patterns in QLD
AUS_CAL_SCHOOL_VIC,VIC School Holidays,Calendar,Regional school holiday event,Medium,demand patterns (VIC1 region),demand volatility,Victoria Department of Education,https://www.vic.gov.au/,1980-present,Annual,VIC1,Weekly blocks,Yes,SAFE,observation_date,Public,1,1,0.5,Medium,High,Partial,Historical data pre-1990 requires curation,8.5,INCLUDE_NOW,School holidays drive weekend-like demand patterns in VIC
AUS_CAL_WEEKDAY,Weekday/Weekend Structural,Calendar,Structural calendar feature,High,demand patterns bidding patterns,supply availability interconnector flows,Derived from observation_timestamp,Local,2010-present,Continuous,National,Daily,Yes,SAFE,observation_date,Public,0,0,0.5,High,Critical,None,None,10.0,INCLUDE_NOW,Fully deterministic; compute from observation_timestamp
