"dataset_id","dataset_name","dataset_family","physical_mechanism","commercial_relevance","target_outcomes","authoritative_source","source_url","historical_coverage","update_frequency","spatial_granularity","temporal_granularity","pit_timestamp_available","pit_safe_status","join_keys","licence_access","estimated_storage_mb","acquisition_effort_hours","validation_effort_hours","expected_information_gain","expected_commercial_impact","current_coverage","blocker","priority_score","recommended_action","notes"
"AUS_CAL_NATIONAL","National Public Holidays","Calendar","Deterministic calendar event","High","demand patterns; demand volatility; interconnector flows","Australian Bureau of Statistics","https://www.abs.gov.au/","1950-present","Annual","National","Daily","Yes","SAFE","observation_date","Public","1","1","0.5","High","Critical","None","None","9.8","INCLUDE_NOW","Fully deterministic; baseline for all regions"
"AUS_CAL_WEEKDAY","Weekday/Weekend Structural","Calendar","Structural calendar feature","High","demand patterns; bidding patterns; supply availability; interconnector flows","Derived from observation_timestamp","Local","2010-present","Continuous","National","Daily","Yes","SAFE","observation_date","Public","0","0","0.5","High","Critical","None","None","10.0","INCLUDE_NOW","Fully deterministic; compute from observation_timestamp"
"AEMO_DISPATCHCONSTRAINT","Dispatch Constraint Marginal Values","Constraint","Constraint binding directly explains congestion","Critical","constraint binding frequency; congestion explanation; interconnector flows; SRA payout","NEMWEB AEMO","https://www.nemweb.com.au/","2010-present","Continuous","Per constraint_id","5-minute","Yes","SAFE","interval_timestamp; constraint_id","Public","200","4","3","High","Critical","None","None","9.5","INCLUDE_IMMEDIATELY","Constraints ARE the congestion mechanism; essential for SRA fair value"
"AEMO_UNIT_SCADA","Unit-Level SCADA Output","Generator","Real output vs availability explains congestion","Critical","availability ratios; outage effects; interconnector flows; SRA payout","NEMWEB AEMO","https://www.nemweb.com.au/","2010-present","Continuous","Per DUID","5-minute","Yes","SAFE","interval_timestamp; duid; region","Public","120","2","2","High","Critical","Partial (in historical FS)","None","9.2","INCLUDE_IMMEDIATELY","Core data already in feature store; extend and validate"
"AEMO_DISPATCHLOAD","Actual Demand by Region","Demand","Actual load is supply/demand balance half","Critical","demand patterns; supply balance; interconnector flows; SRA payout","NEMWEB AEMO","https://www.nemweb.com.au/","2010-present","Continuous","Per region","5-minute","Yes","SAFE","interval_timestamp; region","Public","30","1","1","High","Critical","Partial (in historical FS)","None","9.3","INCLUDE_IMMEDIATELY","Core data already in feature store; validate"
"AEMO_INTERCONNECTOR_RESULTS","Interconnector Flow Results","Demand","Observed interconnector flows","Critical","transmission flows; SRA payout","NEMWEB AEMO","https://www.nemweb.com.au/","2010-present","Continuous","Per interconnector","5-minute","Yes","SAFE","interval_timestamp; interconnector_id","Public","15","1","1","High","Critical","Partial (in historical FS)","None","9.3","INCLUDE_IMMEDIATELY","Core validation data; already ingested"
"AEMO_GENCONDATA","Generic Constraint Definitions","Constraint","Constraint definitions map constraint_id to English","High","constraint interpretation; congestion explanation","NEMWEB AEMO","https://www.nemweb.com.au/","2005-present","Updated continuously","Per constraint_id","Static","Yes","SAFE","constraint_id","Public","3","2","1","Medium","High","None","None","8.5","INCLUDE_IMMEDIATELY","Enables interpretation of constraint bindings"
"AEMO_GENERATOR_REGISTRATION","Generator Registration (Fuel Type)","Generator","Fuel-type mapping for aggregation","Critical","generation mix by fuel","NEMWEB AEMO","https://www.aemo.com.au/","1995-present","Updated continuously","Per DUID","Static","Yes","SAFE","duid","Public","2","1","0.5","High","Critical","None","None","9.5","INCLUDE_NOW","Essential for generation-mix aggregation"
"AEMO_UNIT_SCADA_BY_FUEL","Generation by Fuel Type (Aggregated)","Generation Mix","Aggregated generation mix by fuel","Critical","renewable penetration; supply mix","Derived from UNIT_SCADA + PARTICIPANT_REGISTRATION","https://www.nemweb.com.au/","2010-present","Continuous","Per region","5-minute","Yes","SAFE","interval_timestamp; region; fuel_type","Public","50","2","1","High","Critical","Partial","None","9.0","INCLUDE_IMMEDIATELY","Fundamental to supply/demand balance; aggregate existing data"
"AEMO_RENEWABLE_PENETRATION","Renewable Penetration (% of Total)","Generation Mix","Renewable generation as % of total","High","renewable penetration; grid stability","Derived from UNIT_SCADA by fuel","https://www.nemweb.com.au/","2010-present","Continuous","Per region","5-minute","Yes","SAFE","interval_timestamp; region","Public","5","1","0.5","High","High","None","None","9.5","INCLUDE_NOW","Fundamental renewable-penetration metric; trivial to compute"
"AEMO_FCAS_PRICES","FCAS Causer-Pays Prices","FCAS","FCAS pricing directly influences bidding","Critical","bid strategy; interconnector flows; SRA payout timing","NEMWEB AEMO","https://www.nemweb.com.au/","2015-02-present","Continuous","National (service-type level)","5-minute","Yes","SAFE","interval_timestamp; service_type; service_class","Public","50","4","3","High","Critical","None","Table schema varies across MMSDM versions","8.8","INCLUDE_NOW","FCAS prices are critical driver of bidding strategy"
"BOM_TEMPERATURE","Temperature (Max/Min/Mean)","Weather","Temperature drives demand (AC load) and renewable output","High","demand patterns; renewable output","Bureau of Meteorology","http://www.bom.gov.au/climate/data/","1910-present","Daily","Per station (interpolate to regions)","Daily","Yes","SAFE","observation_date; station_id; region","CC-BY 4.0","20","2","2","High","High","None","None","8.2","INCLUDE_NOW","Strong correlation with demand; low effort"
"AEMO_PASA_AVAILABILITY","PASA Maximum Availability","Generator","Day-ahead capacity limits","High","capacity constraints; availability","NEMWEB AEMO","https://www.nemweb.com.au/","2010-present","Daily","Per DUID","30-minute forecast","Yes","SAFE","forecast_date; duid","Public","40","3","2","High","High","None","PASA archive incomplete for older DUIDs","7.8","INCLUDE_NOW","Explains short-term capacity constraints"
